,id,eng_lemma,swe_lemma,status,pos,src
1419,ACM857,Data dictionary/directory,,bronze,N?,ACM
1420,ACM551,DATA ENCRYPTION,KRYPTERING AV DATA,bronze,N?,ACM
1421,ACM553,Data encryption standard (DES) [**],DES-standarden [**],bronze,N?,ACM
1422,GF412,data management,datahantering,silver,N,GF
1423,ACM837,Data manipulation languages (DML),Datamanipuleringsspråk (DML),bronze,N?,ACM
1424,ACM405,Data mapping,Datamappning,bronze,N?,ACM
1425,ACM862,Data mining,Datautvinning,bronze,N?,ACM
1426,ICT744,data mining,datautvinning/informationsutvinning/data mining,bronze,N?,ICT
1427,GF413,data mining,datautvinning,silver,N,GF
1428,ACM828,Data models,,bronze,N?,ACM
1429,GF414,data processing,databehandling,silver,N,GF
1430,ICT747,data recovery,dataräddning,bronze,N?,ICT
1431,ICT749,Data Retention Directive,Datalagringsdirektivet,bronze,N?,ICT
1432,GF415,data set,datamängd,silver,N,GF
1433,ACM896,Data sharing,,bronze,N?,ACM
1434,GF416,data storage device,lagringsmedium,silver,N,GF
1435,ACM544,DATA STORAGE REPRESENTATIONS,REPRESENTATIONER INOM DATALAGRING,bronze,N?,ACM
1436,GF417,data structure,datastruktur,silver,N,GF
1437,ACM536,DATA STRUCTURES,DATASTRUKTURER,bronze,N?,ACM
1438,ACM91,Data terminals and printers,Dataterminaler och skrivare,bronze,N?,ACM
1439,ICT750,data transfer,dataöverföring,bronze,N?,ICT
1440,ACM853,Data translation [**],,bronze,N?,ACM
1441,GF418,data type,datatyp,silver,N,GF
1442,ACM443,Data types and structures,Datatyper och strukturer,bronze,N?,ACM
1443,ACM858,Data warehouse and repository,,bronze,N?,ACM
1444,ICT751,data warehouse appliance,datalager apparaten,bronze,N?,ICT
1445,ICT752,data warehousing,datalagring,bronze,N?,ICT
1446,GF419,data,data,silver,N,GF
1447,ICT740,data-centric,uppgifter centrerade,bronze,N?,ICT
1448,ACM219,Data-flow architectures,Dataflödesarkitekturer,bronze,N?,ACM
1449,ACM425,Data-flow languages,Dataflödesspråk,bronze,N?,ACM
1450,ICT745,data-only,endast data ,bronze,N?,ICT
1451,ICT758,data-parallel,,bronze,N?,ICT
1452,ACM119,Data-path design,,bronze,N?,ACM
1453,ICT746,data-processing,databehandling,bronze,N?,ICT
1454,ACM838,Database (persistent) programming languages,,bronze,N?,ACM
1455,GF420,database administator,databasadministratör,silver,N,GF
1456,ACM856,Database Administration,,bronze,N?,ACM
1457,ACM861,Database Applications,Databastillämpningar,bronze,N?,ACM
1458,ICT753,database databases,databas,bronze,N?,ICT
1459,ACM855,Database Machines,,bronze,N?,ACM
1460,ACM824,DATABASE MANAGEMENT (E.5),,bronze,N?,ACM
1461,ICT754,database performance,databasprestanda,bronze,N?,ICT
1462,ACM1465,Database processing,Databaser,bronze,N?,ACM
1463,ICT755,database security,databassäkerhet,bronze,N?,ICT
1464,GF421,database,databas,silver,N,GF
1465,ICT756,Datagram Congestion Control Protocol (DCCP),,bronze,N?,ICT
1466,ICT757,Datagram Transport Layer Security (DTLS),datagram transportlagersäkerhet,bronze,N?,ICT
1467,ICT748,datarate,datatakt,bronze,N?,ICT
1468,ICT759,datastore,datalager,bronze,N?,ICT
1469,ICT760,date dates,datum datumen,bronze,N?,ICT
1470,ICT761,day days,dag dagar,bronze,N?,ICT
1471,GF422,day,dag,silver,N,GF
1472,ICT788,de-interlace,sätta samman två halvbilder till en helbilder,bronze,N?,ICT
1473,ICT762,deadline,,bronze,N?,ICT
1474,ACM833,Deadlock avoidance,,bronze,N?,ACM
1475,ACM471,Deadlocks,Dödlägen,bronze,N?,ACM
1476,ICT763,deal dealing,erbjuda/erbjudande/överenskommelse erbjuder,bronze,N?,ICT
1477,GF423,death,död,silver,N,GF
1478,ICT764,debacle,debacle,bronze,N?,ICT
1479,ICT765,debiting,debitering,bronze,N?,ICT
1480,GF424,debugger,avlusare,silver,N,GF
1481,ACM456,Debuggers,Avlusare,bronze,N?,ACM
1482,ACM357,Debugging aids,Avlusningshjälpmedel,bronze,N?,ACM
1483,ICT766,decapsulates,,bronze,N?,ICT
1484,ICT767,decayed,skämda,bronze,N?,ICT
1485,ICT770,decentralized action handler,decentraliserad åtgärd handler,bronze,N?,ICT
1486,ICT771,decentralized diagnosis platform,decentraliserad diagnos plattform,bronze,N?,ICT
1487,GF425,decide, bestämma,silver,V,GF
1488,ICT768,decide|s decided deciding,besluta beslutar beslutat beslutar,bronze,N?,ICT
1489,ICT769,decimal,decimal,bronze,N?,ICT
1490,GF426,decimal,decimal,silver,N,GF
1491,ICT772,decision,beslutet,bronze,N?,ICT
1492,ACM649,Decision problems,,bronze,N?,ACM
1493,ACM658,Decision problems,,bronze,N?,ACM
1494,ACM918,Decision support (e.g.,,bronze,N?,ACM
1495,ACM325,Decision tables,Beslutstabeller,bronze,N?,ACM
1496,ICT773,decisive features of devices,avgörande funktioner i enheter,bronze,N?,ICT
1497,GF427,declaration,deklaration,silver,N,GF
1498,GF428,declare, deklarera,silver,V,GF
1499,ICT774,decode decoder,avkoda avkodare,bronze,N?,ICT
1500,GF429,decompose, nedbryta,silver,V,GF
1501,ICT775,decreases decreased,minskar minskat,bronze,N?,ICT
1502,ICT776,decrements,dekrement,bronze,N?,ICT
1503,ICT777,decryption decrypting,dekryptering ,bronze,N?,ICT
1504,ICT778,dedicated,dedicerad,bronze,N?,ICT
1505,ACM1016,Deduction (e.g.,Deduktion (t.ex. naturlig,bronze,N?,ACM
1506,ACM1014,Deduction and Theorem Proving (F.4.1),Deduktion och teorembevisning,bronze,N?,ACM
1507,ICT779,deeper,djupare,bronze,N?,ICT
1508,ICT780,default,standard,bronze,N?,ICT
1509,ICT781,default value,standardvärde,bronze,N?,ICT
1510,GF430,default,standard,silver,N,GF
1511,ICT782,deferred,uppskjuten,bronze,N?,ICT
1512,ICT783,define defines defining defined,definiera definierar,bronze,N?,ICT
1513,GF431,define, definiera,silver,V,GF
1514,ICT784,definition definitions definitive,definition definitioner slutgiltig,bronze,N?,ICT
1515,GF432,definition,definition,silver,N,GF
1516,GF433,definitive,avgörande,silver,A,GF
1517,ICT785,degradation,nedbrytning,bronze,N?,ICT
1518,ICT786,degree,grad,bronze,N?,ICT
1519,GF434,degree,examen,silver,N,GF
1520,ICT787,degrees of freedom,frihetsgrader,bronze,N?,ICT
1521,ICT789,delay delays delayed,fördröjning förseningar,bronze,N?,ICT
1522,ACM757,Delay equations,,bronze,N?,ACM
1523,ICT790,delay measurements,fördröjningsmätningar,bronze,N?,ICT
1524,GF435,delay,fördröjning,silver,N,GF
1525,ICT791,delay-insensitive,fördröjning okänsliga,bronze,N?,ICT
1526,ICT792,delegation delegated,delegering,bronze,N?,ICT
1527,ICT793,delete deletion deleted,radera radering raderas,bronze,N?,ICT
1528,GF436,delete, radera,silver,V,GF
1529,ICT794,delight,glädje,bronze,N?,ICT
1530,ICT795,deliver delivers delivered delivering deliverable,leverera levererar levereras leverera levererbar,bronze,N?,ICT
1531,ICT796,delivery deliveries,leverans leveranser,bronze,N?,ICT
1532,GF437,delivery,leverans,silver,N,GF
1533,ICT797,delta debugging,delta felsökning,bronze,N?,ICT
1534,ICT798,demands demanding,krav krävande,bronze,N?,ICT
1535,ICT799,demilitarized zone (DMZ),demilitariserad zon,bronze,N?,ICT
