id,eng_lemma,swe_lemma,status,pos,src
ACM1036,Analogies,Analogier,bronze,N?,ACM
ICT133,analysis,analys,bronze,N?,ICT
ICT135,analytical,analytisk,bronze,N?,ICT
ICT137,anchor,ankare,bronze,N?,ICT
ICT138,angle,vinkel,bronze,N?,ICT
ICT139,animal,djur,bronze,N?,ICT
ACM1135,Animation,Animering,bronze,N?,ACM
ACM1250,Animation,Animering,bronze,N?,ACM
ICT142,annual,årlig,bronze,N?,ICT
ICT143,anonymous,anonym,bronze,N?,ICT
ICT147,anticipated,förväntad,bronze,N?,ICT
ICT148,aperiodic,aperiodisk,bronze,N?,ICT
ICT149,apparatus,apparat,bronze,N?,ICT
ACM1143,Applications,Tillämpningar,bronze,N?,ACM
ACM1202,Applications,Tillämpningar,bronze,N?,ACM
ACM1226,Applications,Tillämpningar,bronze,N?,ACM
ACM1242,Applications,Tillämpningar,bronze,N?,ACM
ACM761,Applications,Tillämpningar,bronze,N?,ACM
ACM778,Applications,Tillämpningar,bronze,N?,ACM
ACM994,Applications,Tillämpningar,bronze,N?,ACM
ICT165,appointed,utsedd,bronze,N?,ICT
ICT167,appropriate,lämpligt,bronze,N?,ICT
ICT170,arbitrarily,godtyckligt,bronze,N?,ICT
ACM1300,Archaeology,Arkeologi,bronze,N?,ACM
ACM1317,Architecture,Arkitektur,bronze,N?,ACM
ICT175,arises,uppstår,bronze,N?,ICT
ACM537,Arrays,Vektorer,bronze,N?,ACM
ICT180,artefact,artefakt,bronze,N?,ICT
ICT182,artificially,artificiellt,bronze,N?,ICT
ACM614,Assertions,Påståenden,bronze,N?,ACM
ICT192,assumed,antog,bronze,N?,ICT
ICT193,assurance,försäkran,bronze,N?,ICT
ACM1301,Astronomy,Astronomi,bronze,N?,ACM
ICT194,asymmetric,asymmetrisk,bronze,N?,ICT
ICT200,atomic,atomisk,bronze,N?,ICT
ICT206,attracted,lockade,bronze,N?,ICT
ICT209,audible,hörbar,bronze,N?,ICT
ICT210,audio,ljud,bronze,N?,ICT
ICT211,auditing,revision,bronze,N?,ICT
ICT213,augmented,förstärkt,bronze,N?,ICT
ACM1439,Authentication,Autentisering,bronze,N?,ACM
ACM506,Authentication,Autentisering,bronze,N?,ACM
ICT217,authenticator,verifieraren,bronze,N?,ICT
ICT218,authenticity,äkthet,bronze,N?,ICT
ICT219,authorization,tillstånd,bronze,N?,ICT
ICT223,automate,automatisering,bronze,N?,ICT
ACM1385,Automation,Automation,bronze,N?,ACM
ICT240,backbone,ryggrad,bronze,N?,ICT
ICT241,backdoor,bakdörr,bronze,N?,ICT
ICT242,backhaul,returtrafik,bronze,N?,ICT
ICT243,backoff,backoffrandomisering,bronze,N?,ICT
ACM1052,Backtracking,Bakåtspårning,bronze,N?,ACM
ICT245,backup,säkerhetskopiering,bronze,N?,ICT
ICT246,backwards,bakåt,bronze,N?,ICT
ICT249,balance,balans,bronze,N?,ICT
ICT250,balanced,balanserat,bronze,N?,ICT
ICT252,balloon,ballong,bronze,N?,ICT
ICT254,bandwidth,bandbredd,bronze,N?,ICT
ICT255,bankruptcy,konkurs,bronze,N?,ICT
ICT256,barcode,streckkod,bronze,N?,ICT
ICT261,basis,grundval,bronze,N?,ICT
ICT262,batches,satser,bronze,N?,ICT
ICT266,battle,slaget,bronze,N?,ICT
ICT267,battlefield,slagfält,bronze,N?,ICT
ICT268,beacon,ledstjärna,bronze,N?,ICT
ICT272,bedroom,sovrum,bronze,N?,ICT
ICT273,beeper,pipare,bronze,N?,ICT
ICT276,behave,beter,bronze,N?,ICT
ICT278,believe,tro,bronze,N?,ICT
ICT279,below,nedan,bronze,N?,ICT
ICT280,benchmarking,jämförande,bronze,N?,ICT
ACM1424,Benchmarks,Utvärderingsprov,bronze,N?,ACM
ICT281,benefits,fördelar,bronze,N?,ICT
ICT282,beside,bredvid,bronze,N?,ICT
ICT286,better,bättre,bronze,N?,ICT
ICT287,biased,förspända,bronze,N?,ICT
ICT288,bibliography,bibliografi,bronze,N?,ICT
ICT290,billing,fakturering,bronze,N?,ICT
ICT292,binary,binär,bronze,N?,ICT
ICT295,biomedical,biomedicinska,bronze,N?,ICT
ICT304,blog,blogg,bronze,N?,ICT
ICT305,blood,blod,bronze,N?,ICT
ICT310,boosters,förstärkare,bronze,N?,ICT
ICT311,bootstrap,programladda,bronze,N?,ICT
ICT317,bought,köpt,bronze,N?,ICT
