id,eng_lemma,swe_lemma,status,pos,src
ACM1420,Systems analysis and design,Systemanalys och systemkonstruktion,silver,N?,ACM
ACM1421,Systems development,Systemutveckling,silver,N?,ACM
ACM526,Systems Programs and Utilities,Systemprogram och nyttoprogram,silver,N?,ACM
ACM196,Systems specification methodology,Metoder för systemspecificering,silver,N?,ACM
ACM1239,Systems theory,Systemteori,silver,N?,ACM
ACM1032,Temporal logic,Tidslogik,silver,N?,ACM
ACM355,Testing and Debugging,Testning och avlusning,silver,N?,ACM
ACM1050,Text analysis,Textanalys,silver,N?,ACM
ACM1229,Text processing,Textbehandling,silver,N?,ACM
ACM1339,THE COMPUTER INDUSTRY,Datorindustrin,silver,N?,ACM
ACM1447,THE COMPUTING PROFESSION,DATABEHANDLING SOM YRKE,silver,N?,ACM
ACM1134,Three-Dimensional Graphics and Realism,Tredimensionell grafik och realism,silver,N?,ACM
ACM1200,Time-varying imagery,Tidsvarierande bildframställning,silver,N?,ACM
ACM268,Token rings,Token ring,silver,N?,ACM
ACM344,Top-down programming,Top-down-programmering,silver,N?,ACM
ACM609,Tradeoffs between Complexity Measures,Byte mellan komplexitetsmått,silver,N?,ACM
ACM1377,Transborder data flow,Gränsöverskridande dataflöde,silver,N?,ACM
ACM1175,Transform methods,Transformmetoder,silver,N?,ACM
ACM161,Types and Design Styles,Typer och designmodeller,silver,N?,ACM
ACM1249,Types of Simulation,Simuleringstyper,silver,N?,ACM
ACM731,Unconstrained optimization,Icke-framtvingad optimering,silver,N?,ACM
ACM336,User interfaces,Användargränssnitt,silver,N?,ACM
ACM807,User interfaces,Användargränssnitt,silver,N?,ACM
ACM1266,Version control,Versionskontroll,silver,N?,ACM
ACM378,Version control,Versionskontroll,silver,N?,ACM
ACM435,Very high-level languages,Superhögnivåspråk,silver,N?,ACM
ACM1078,Video analysis,Videoanalys,silver,N?,ACM
ACM1106,Viewing algorithms,Bildalgoritmer,silver,N?,ACM
ACM1116,Virtual device interfaces,Gränssnitt till virtuella enheter,silver,N?,ACM
ACM486,Virtual memory,Virtuellt minne,silver,N?,ACM
ACM72,Virtual memory,Virtuellt minne,silver,N?,ACM
ACM1141,Virtual reality,Virtuell verklighet,silver,N?,ACM
ACM312,Visual Programming,Visuell programmering,silver,N?,ACM
ACM169,VLSI,VLSI,silver,N?,ACM
ACM296,VLSI Systems,VLSI-system,silver,N?,ACM
ACM1230,Waveform analysis,Vågformsanalys,silver,N?,ACM
ACM530,Window managers,Fönsterhanterare,silver,N?,ACM
ACM247,Wireless communication,Trådlös kommunikation,silver,N?,ACM
ACM1469,Word processing,Ordbehandling,silver,N?,ACM
ICT29,acceleration,acceleration,silver,N?,ICT
ICT37,accommodate,ackommodera,silver,N?,ICT
ICT47,acoustic,akustik,silver,N?,ICT
ICT57,actor,aktör,silver,N?,ICT
ICT79,affect,påverka,silver,N?,ICT
ICT124,amendment,ändring,silver,N?,ICT
ICT157,application-level,applikationsnivå,silver,N?,ICT
ICT160,application-specific,applikationsspecifika,silver,N?,ICT
ICT176,array,array,silver,N?,ICT
ICT208,attribute-value,attributvärde,silver,N?,ICT
ICT222,auto-correlation,autokorrelations,silver,N?,ICT
ICT233,automobile,bil,silver,N?,ICT
ICT265,battery-operated,batteridriven,silver,N?,ICT
ICT270,bearer,bärare,silver,N?,ICT
ICT348,built-in,inbyggd,silver,N?,ICT
ICT372,cable,kabel,silver,N?,ICT
ICT391,camera,kamera,silver,N?,ICT
ICT392,campus,campus,silver,N?,ICT
ICT395,candidate,kandidat,silver,N?,ICT
ICT398,capacitor,kondensator,silver,N?,ICT
ICT402,card,kort,silver,N?,ICT
ICT429,chance,chans,silver,N?,ICT
ICT434,channel,kanal,silver,N?,ICT
ICT437,character,karaktär,silver,N?,ICT
ICT448,chipset,kretsuppsättning,silver,N?,ICT
ICT447,chip,chip,silver,N?,ICT
ICT453,circuit-switched,kretskopplat,silver,N?,ICT
ICT459,city-wide,stadsomfattande,silver,N?,ICT
ICT468,client,klient,silver,N?,ICT
ICT475,cloud,molnet,silver,N?,ICT
ICT502,co-located,samlokaliserade,silver,N?,ICT
ICT661,co-precipitation,samutfällning,silver,N?,ICT
ICT508,command,kommando,silver,N?,ICT
ICT543,complicate,komplicera,silver,N?,ICT
ICT544,component,komponent,silver,N?,ICT
ICT569,conference,konferens,silver,N?,ICT
ICT587,connector,kontakt,silver,N?,ICT
ICT625,context-dependency,kontextberoende,silver,N?,ICT
ICT663,copyright,upphovsrätt,silver,N?,ICT
ICT677,cost-saving,kostnadsbesparande,silver,N?,ICT
ICT688,course,kurs,silver,N?,ICT
ICT701,cross-border,gränsöverskridande,silver,N?,ICT
ICT703,cross-cultural,tvärkulturell,silver,N?,ICT
